evidence_id,date,claim,command_or_artifact,result
EV-001,2026-09-10,"Coalescing seam answered through a closed unit of work on POSIX CI","gh run view --job 102246597822 (run 34281328452, head ddab065eb)","ProjectStoreError: project unit of work is no longer active; job 4 failed / 3039 passed"
EV-002,2026-09-10,"The failure is reproducible in one process","pytest -q tests/delivery/test_dispatcher.py tests/sync/test_offline_queue_counter.py::TestRowCountCache::test_counter_unchanged_on_coalesce tests/sync/test_queue_resilience.py::TestEventCoalescing::test_coalescing_updates_existing_row","2 failed, 37 passed on the unfixed base"
EV-003,2026-09-10,"A resolver-based seam removes the first defect","commit a98f2cb54 + same selection on Windows with the local POSIX shim","390 passed, 0 failed across tests/delivery, tests/event_journal, the queue nodes and the daemon isolation suite"
EV-004,2026-09-10,"After the seam repair the capture path violates the outbox foreign key","gh api /repos/rusliksu/spec-kitty/actions/jobs/102913159263/logs (run 34489743886, head 342f784c7)","3 failed / 3040 passed; sqlite3.IntegrityError: FOREIGN KEY constraint failed at sync/queue.py:433"
EV-005,2026-09-10,"The coalesced append writes no row for the incoming identity","read src/specify_cli/event_journal/journal.py:191-202","sentinel receipt JournalWriteReceipt(capture_sequence=0, epoch_id=0, inserted=False)"
EV-006,2026-09-10,"The capture path inserts an outbox task unconditionally","read src/specify_cli/sync/queue.py:431-452","INSERT INTO outbox_tasks (..., journal_entry_id) VALUES (..., event_id, ...) under execute_write"
EV-007,2026-09-10,"The database enforces the invariant the capture path breaks","read src/specify_cli/sync/project_store.py:325-339","FOREIGN KEY (project_uuid, journal_entry_id) REFERENCES journal_entries(project_uuid, entry_id)"
EV-008,2026-09-10,"Exactly one live capture caller exists","grep "EventJournal(" src/specify_cli","queue.py:426 is the only append caller; all other sites read or import legacy rows"
EV-009,2026-09-10,"Only two event types are coalescible","read src/specify_cli/sync/queue.py:287-309","COALESCEABLE_EVENT_TYPES covers MissionDossierArtifactIndexed and MissionDossierSnapshotComputed"
EV-010,2026-09-10,"The daemon owner oracle is a separate, now-repaired defect","run 34489743886 job fast-tests-sync","daemon isolation node green after 342f784c7 (3039 -> 3040 passed)"
