id,claim,method,result,source_ref,decision_ref
E01,A committed sync.enabled: false already refuses jira/linear tracker egress with no HTTP attempted; absence refuses identically; a granted project passes the gate,"Isolated HOME; HTTP trip-wire on httpx.Client.request; positive control included (three rows: absence, false, true)","absence: REFUSED error_code=project_consent_denied 0 HTTP; false: REFUSED error_code=project_consent_denied 0 HTTP; true: gate passed, failed later at ""No valid access token""",S01;S12,research.md §1
E02,local_service.py holds zero HTTP egress sinks; saas_client.py holds many (control),"AST scan with the egress guard's own scanner over src/, printing the input file count","INPUT COUNT: 1198 .py files scanned; 72 sink sites in 28 files total; CONTROL saas_client.py sinks = 8; SUBJECT local_service.py sinks = 0",S01;S12;S11,research.md §1
E03,The guard's own scanner is evaded by an all-positional call shape (#3113) but still fires on a keyword call and on a differently-named call,Three synthetic probe calls run through the same scanner,"poster(url, data=body, headers=hdrs, timeout=5.0) -> 1 sink (control, matches guard's own fixture); poster(url, body, hdrs, 5.0) -> 0 sinks (evaded, #3113); requests.post(u, b) -> 1 sink (control, name rule still fires)",S01,research.md §1
E04,"A committed sync.enabled: false does not stop the beads/fp path from shipping issue title, body, labels and assignee as argv","A real fake bd binary installed on disk, named through the machine-global credential file; real LocalTrackerService driven with nothing in the production path patched; doctrine.mode=spec_kitty_authoritative pinned; op=sync_push","argv captured: 2 -- ['.../fake-bd', '--json', 'list'] and ['.../fake-bd', '--json', 'create', 'ACME Holdings carve-out', '--type', 'task', '--priority', '2', '--description', 'confidential body', '--assignee', 'alice@acme.example', '--label', 'secret-label']; SENTINEL in argv: True; http attempts: 0",S01;S02;S11;S30;S31,research.md §1; data-model.md §5
E05,"The positive control for Gap B cannot pass on a default binding, because ownership mode gates title-write","Same fake-bd harness as E04, but with doctrine.mode left at its default (external_authoritative) instead of pinned to spec_kitty_authoritative","Consenting push on a default binding captures exactly one argv, ['<cmd>', '--json', 'list']; sentinel absent; SyncEngine.push does stats.skipped += 1; continue and never calls create_issue",S02;S11;S32;S33,research.md §5 (harness discipline); spec.md FR-018 H1
E06,"The only existing local-tracker tests patch out the exact method that would hold the gate, so a gate injected there is never entered","FR-001's gate injected onto _build_engine via a PYTHONPATH-injected pytest plugin (mutation-as-plugin, no source edit); bind counter instrumented","FR-001 MUTATION BIND COUNT: _build_engine entered=0 refused=0 permitted=0; 519 passed, 1 warning in 59.65s -- the all-green run is vacuous because the gate was never entered",S02;S36,research.md §2 option 4; spec.md FR-018 H2
E07,"The tracker CLI group's arming gate alone already satisfies a refusal assertion that only checks a non-zero exit code, with no consent gate present","SPEC_KITTY_ENABLE_SAAS_SYNC measured unset and then =1, on a fully consenting project, at bb2020fea","SPEC_KITTY_ENABLE_SAAS_SYNC=None -> exit 1, subprocess.run 0, http 0, prints 'Hosted SaaS sync is not enabled on this machine. Set `SPEC_KITTY_ENABLE_SAAS_SYNC=1` to opt in.'; SPEC_KITTY_ENABLE_SAAS_SYNC='1' -> exit 1, subprocess.run 1 (no gate present at all)",S02;S25;S28,research.md §5; spec.md FR-018 H3
E08,bind and unbind silently erase a committed tracker-egress decision while a plain save of a loaded config preserves it,"CONTROL: from_dict of an unknown key into _extra; CONTROL: save of a LOADED config; SUBJECT: bind via the service.py:163 path; SUBJECT: unbind via clear_tracker_config; control: sibling sync: block presence","CONTROL from_dict: _extra = {'egress_refused': True} (ok); CONTROL save-of-loaded: egress_refused present True (ok); SUBJECT bind: egress_refused present False (erased); SUBJECT unbind: egress_refused present False (erased); sibling sync: block still present: True (control ok)",S02;S09;S10;S11,data-model.md §5
E09,A known TrackerProjectConfig field with an unusable recorded value is silently replaced by its default on round trip,A doctrine.mode: 42 value was planted in a committed tracker: block and read back through the existing config load/save path,"Recorded 42 came back as 'external_authoritative' (the field's default), not as an error and not as the recorded 42",S02;S09,data-model.md §1
E10,An identity-less checkout with sync.enabled: true hand-authored still cannot be granted hosted-sync consent and the true reason is discarded,"Checkout with no project.uuid, sync.enabled: true committed (remedy 1 already applied); enable_checkout_sync and sync opt-in run against it",routing.project_uuid: None; ConsentDecision: granted=False level=absent reason='project identity did not resolve; not consentable'; `sync opt-in` core: ConsentIdentityUnresolvedError: ... no project_uuid resolved. Run `spec-kitty init`,S02;S21,research.md §3 (answer 5 consequence); data-model.md §3
